Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-04-19,199,0.6737938432641724,0.6394078432641723,0.7081798432641724,0.7482769189488176,0.6991540618059605,0.7973997760916749,74.82769189488177,69.91540618059605,79.73997760916748,Flowering,2023-10-03,2024-07-30,3.4,2.1,5.1,9.3,89,1013.8,21.0,96,3.5999999999999996,1340.1000000000006
2024-04-20,200,0.6857668025997604,0.6513808025997604,0.7201528025997604,0.7653811465710864,0.7162582894282291,0.8145040037139435,76.53811465710864,71.6258289428229,81.45040037139435,Flowering,2023-10-03,2024-07-30,4.4,1.9,7.8,0.8,77,1016.9,16.9,92,4.85,1344.9500000000005
2024-04-21,201,0.6959096622651414,0.6615236622651414,0.7302956622651414,0.7798709460930592,0.7307480889502019,0.8289938032359163,77.98709460930591,73.0748088950202,82.89938032359163,Flowering,2023-10-03,2024-07-30,3.0,1.3,5.8,6.6,86,1019.1,12.4,100,3.55,1348.5000000000005
2024-04-22,202,0.7023468179188022,0.6679608179188021,0.7367328179188022,0.789066882741146,0.7399440255982888,0.8381897398840031,78.9066882741146,73.99440255982887,83.81897398840032,Flowering,2023-10-03,2024-07-30,2.9,-1.9,6.6,0.7,68,1021.5,11.6,57,2.3499999999999996,1350.8500000000004
2024-04-23,203,0.706279106492758,0.671893106492758,0.7406651064927581,0.7946844378467972,0.7455615807039401,0.8438072949896545,79.46844378467972,74.556158070394,84.38072949896545,Flowering,2023-10-03,2024-07-30,3.4,-1.7,7.4,0.0,66,1017.4,10.3,73,2.85,1353.7000000000003
2024-04-24,204,0.7095781333363936,0.6751921333363936,0.7439641333363937,0.7993973333377052,0.750274476194848,0.8485201904805624,79.93973333377052,75.0274476194848,84.85201904805623,Flowering,2023-10-03,2024-07-30,3.4,0.2,6.6,1.2,73,1010.4,14.6,56,3.4,1357.1000000000004
2024-04-25,205,0.712989783543239,0.678603783543239,0.7473757835432391,0.8042711193474844,0.7551482622046272,0.8533939764903415,80.42711193474844,75.51482622046272,85.33939764903415,Flowering,2023-10-03,2024-07-30,3.6,1.0,7.3,1.2,78,1009.1,12.8,78,4.15,1361.2500000000005
2024-04-26,206,0.7163442960919116,0.6819582960919116,0.7507302960919117,0.8090632801313024,0.7599404229884452,0.8581861372741595,80.90632801313023,75.99404229884452,85.81861372741595,Flowering,2023-10-03,2024-07-30,6.8,-0.7,12.7,0.2,70,1008.0,9.6,52,6.0,1367.2500000000005
2024-04-27,207,0.719416787567634,0.685030787567634,0.7538027875676341,0.8134525536680487,0.7643296965251914,0.8625754108109058,81.34525536680486,76.43296965251915,86.25754108109058,Flowering,2023-10-03,2024-07-30,11.2,2.5,18.5,0.1,62,1009.4,8.7,24,10.5,1377.7500000000005
2024-04-28,208,0.7222325847128259,0.6878465847128259,0.756618584712826,0.8174751210183228,0.7683522638754656,0.8665979781611799,81.74751210183227,76.83522638754656,86.65979781611799,Flowering,2023-10-03,2024-07-30,13.1,7.3,18.9,0.1,60,1013.3,11.0,82,13.1,1390.8500000000004
